"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__PriceEditable__c","SBQQ__ProductCode__c","SBQQ__ProductConfigurationType__c","SBQQ__ProductDescription__c","SBQQ__ProductFamily__c","SBQQ__ProductName__c","SBQQ__ProductQuantityScale__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c","SBQQ__ProductSubscriptionPricing__c","Memory_Config__c","Hide_Option__c","OSKUProduct_Line__c","FeatureName__c","Image__c","UsPerUnit__c","SBQQ__RenewalProductOption__c","Configuration__c","IsServer__c","Engineering_Options__c","Resource_Location__c","Assumptions_Comments_PM__c","Assumptions_Comments_ER__c","Assumptions_Comments_SA__c","Role__c","Role_Description__c","Cable_Length__c","Deployment__c","Number_of_Areas__c","Area__c","Percent_of_Total__c","Number_of_Sections_and_Subsections__c","Number_of__c"
"a0b1N00000CoL91QAF","false","PO-000317","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3jQAA",,,"230.0","01t1N00000EURL0QAP","No","BSSA-4300","Disabled","Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.","Hardware","Sliding Shelf 200lbs",,"true","1.0","Always","false","false",,"false","Component",,"false",,"Performance Optimized","false","Server Slot","Slot Configuration","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pZ&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000317"" style=""height:55px; width:55px;"" border=""0""/>","1.0",,,"false",,,,,,"Sliding Shelf 200lbs","Occupying 1U of rack space, this sliding shelf provides ventilation, and easy access to severs.",,,,,"0%",,
"a0b1N00000CoL92QAF","false","PO-000319","USD","On Selection","true","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v3cQAA",,"10.0","130.0","01t1N00000EURL1QAP","No","S-TE-FR",,"Perpetual license for one (1) Finance and Reporting user.","Software","TE Suite Perpetual Finance and Reporting License",,"true","10.0",,"false","false",,"false","Accessory",,"false",,"Performance Optimized","false","License","Licenses","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p5&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000319"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"TE Suite Perpetual Finance and Reporting License","Perpetual license for one (1) Finance and Reporting user.",,,,,"0%",,
"a0b1N00000CoL93QAF","false","PO-000322","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3dQAA",,,"110.0","01t1N00000EURL2QAP","No","BMX-1051","Disabled","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 6 rack units (U's) for a vertical storage rack.","Hardware","MaxShell 6U 600mmx870mm",,"true","1.0","Always","false","true",,"false","Component",,"false",,,"true",,"Base","<img src=""https://c.na35.content.force.com/servlet/servlet.FileDownload?file=01541000000sUQt"" alt=""PO-000322"" style=""height:55px; width:55px;"" border=""0""/>","6.0",,,"false",,,,,,"MaxShell 6U 600mmx870mm","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 6 rack units (U's) for a vertical storage rack.",,,,,"0%",,
"a0b1N00000CoL94QAF","false","PO-000324","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3jQAA",,,"240.0","01t1N00000EURL3QAP","No","BSSA-4302","Disabled","Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.","Hardware","Fixed Shelf 250lbs",,"true","1.0","Always","false","false",,"false","Component",,"false",,"Performance Optimized","false","Server Slot","Slot Configuration","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ol&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000324"" style=""height:55px; width:55px;"" border=""0""/>","1.0",,,"false",,,,,,"Fixed Shelf 250lbs","Occupying 1U of rack space, this shelf provides ventilation, 4-post mounting and an adjustable mounting depth.",,,,,"0%",,
"a0b1N00000CoL95QAF","false","PO-000325","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3jQAA",,,"210.0","01t1N00000EURL4QAP","No","BSSA-4298","Disabled","The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.","Hardware","Black Toolless Airlow Mangment Blanking Panel",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false","Server Slot","Slot Configuration","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pB&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000325"" style=""height:55px; width:55px;"" border=""0""/>","1.0",,,"false",,,,,,"Black Toolless Airlow Mangment Blanking Panel","The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.",,,,,"0%",,
"a0b1N00000CoL96QAF","false","PO-000327","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"310.0","01t1N00000EURL5QAP","No","PDU-2022","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 20A, 120V L5-20 input 5-20 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000327"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 20A, 120V L5-20 input 5-20 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL97QAF","false","PO-000329","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"320.0","01t1N00000EURL6QAP","No","PDU-2023","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 30A, 120V L5-20 input 5-20 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000329"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 30A, 120V L5-20 input 5-20 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL98QAF","false","PO-000330","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"330.0","01t1N00000EURL7QAP","No","PDU-2024","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 15A, 120V L5-20 input 5-20 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000330"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 15A, 120V L5-20 input 5-20 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL99QAF","false","PO-000331","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3iQAA",,,"450.0","01t1N00000EURL8QAP","No","CMPC-5891","Disabled","The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","Hardware","L5-20 Input Power Cable 12'",,"false","1.0","Always","false","false",,"false","Component",,"false",,,"false","Power Cables","Power Cables","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oq&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000331"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"L5-20 Input Power Cable 12'","The 12' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","12'",,,,"0%",,
"a0b1N00000CoL9aQAF","false","PO-000360","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"380.0","01t1N00000EURLXQA5","No","PDU-2029","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000360"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 5.7W, 208V, 3 phase CS8365 input C13 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL9AQAV","false","PO-000332","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3iQAA",,,"460.0","01t1N00000EURL9QAP","No","CMPC-5892","Disabled","The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","Hardware","L5-20 Input Power Cable 8'",,"false","1.0","Always","false","true",,"false","Component",,"false",,,"false","Power Cables","Power Cables","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oq&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000332"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"L5-20 Input Power Cable 8'","The 8' Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","8'",,,,"0%",,
"a0b1N00000CoL9bQAF","false","PO-000361","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3iQAA",,,"410.0","01t1N00000EURLYQA5","No","CMPC-5887",,"The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","Hardware","C13 to C14 Power Cable 3'",,"false","1.0","Always","false","true",,"false","Component",,"false",,,"false","Power Cables","Power Cables","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pE&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000361"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"C13 to C14 Power Cable 3'","The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","3'",,,,"0%",,
"a0b1N00000CoL9BQAV","false","PO-000333","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3gQAA",,,"620.0","01t1N00000EURLAQA5","No","CMPC-5882","Disabled","These accessories offer the proper cable management options to meet varying needs.","Hardware","Vertical Cable Organizer, 8 Cable Rings",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Cable Managment","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pd&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000333"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Vertical Cable Organizer, 8 Cable Rings","These accessories offer the proper cable management options to meet varying needs.",,,,,"0%",,
"a0b1N00000CoL9cQAF","false","PO-000363","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3iQAA",,,"420.0","01t1N00000EURLZQA5","No","CMPC-5888","Disabled","The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","Hardware","C13 to C14 Power Cable 5'",,"false","1.0","Always","false","false",,"false","Component",,"false",,,"false","Power Cables","Power Cables","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pE&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000363"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"C13 to C14 Power Cable 5'","The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","5'",,,,"0%",,
"a0b1N00000CoL9CQAV","false","PO-000334","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3hQAA",,,"720.0","01t1N00000EURLBQA5","No","BSSA-4304","Disabled","Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.","Hardware","Maxspace TX Bolt-Down Kit",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Stabilization","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pD&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000334"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Maxspace TX Bolt-Down Kit","Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",,,,,"0%",,
"a0b1N00000CoL9dQAF","false","PO-000365","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3gQAA",,,"630.0","01t1N00000EURLaQAP","No","CMPC-5884","Disabled","These accessories offer the proper cable management options to meet varying needs.","Hardware","Cable Containment Brackets",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Cable Managment","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pG&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000365"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Cable Containment Brackets","These accessories offer the proper cable management options to meet varying needs.",,,,,"0%",,
"a0b1N00000CoL9DQAV","false","PO-000336","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3pQAA","1.0","0.0","920.0","01t1N00000EURLCQA5","No","VMW-S","Disabled","vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.","Software","vSphere Standard",,"false","1.0",,"false","false",,"false","Component",,"false",,,"false",,"Additional Software","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pe&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000336"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"vSphere Standard","vSphere Standard provides an entry solution for basic consolidation of applications to slash hardware costs while accelerating application deployment.",,,,,"0%",,
"a0b1N00000CoL9eQAF","false","PO-000343","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3hQAA",,,"710.0","01t1N00000EURLbQAP","No","BSSA-4303","Disabled","Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.","Hardware","Maxspace TX 600mm/750mm Stabalizer Plate",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Stabilization","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pa&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000343"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Maxspace TX 600mm/750mm Stabalizer Plate","Mounting hardware includes light and heavy-duty shelves, bolt-down brackets, stabilization plates, grounding kits, keyboard drawers, mounting rails, brackets, and associated hardware.",,,,,"0%",,
"a0b1N00000CoL9EQAV","false","PO-000346","USD",,"false","false",,,,,"01t1N00000EURLDQA5",,,,,"false",,"a0a1N0000085v4HQAQ","1.0","1.0","110.0","01t1N00000EURKrQAP","No","INTEL E5-2667","Disabled","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","Hardware","Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)",,"false","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Processor","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oo&amp;oid=00D41000000emZ2"" alt=""PO-000346"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,"Custom","false","Extended Care","Onsite",,,,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,"Hosted",,,"0%",,
"a0b1N00000CoL9fQAF","false","PO-000367","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"340.0","01t1N00000EURLcQAP","No","PDU-2025","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 20A, 230V C20 input C19 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000367"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 20A, 230V C20 input C19 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL9FQAV","false","PO-000348","USD",,"false","false","2.0","16GB",,,"01t1N00000EURLDQA5",,,,,"false",,"a0a1N0000085v4IQAQ","8.0","1.0","220.0","01t1N00000EURKzQAP","No","MEM 16GB","Disabled","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width","Hardware","16GB RDIMM, 2133MT/s",,"true","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Memory Capacity","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oy&amp;oid=00D41000000emZ2"" alt=""PO-000348"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,"Custom","false","Extended Care","Onsite",,,,"16GB RDIMM, 2133MT/s","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width",,"Hosted",,,"0%",,
"a0b1N00000CoL9gQAF","false","PO-000369","USD",,"false","false",,,,,"01t1N00000EURLrQAP",,,,,"false",,"a0a1N0000085v43QAA","1.0","1.0","110.0","01t1N00000EURKrQAP","No","INTEL E5-2667","Disabled","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","Hardware","Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)",,"false","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Processor","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oo&amp;oid=00D41000000emZ2"" alt=""PO-000369"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,"Onsite",,,,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,"Hosted",,,"0%",,
"a0b1N00000CoL9GQAV","false","PO-000349","USD",,"false","false","3.0","4T",,,"01t1N00000EURLDQA5",,,,,"false",,"a0a1N0000085v4JQAQ","1.0","0.0","320.0","01t1N00000EURKsQAP","No","HD 4TB","Disabled","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems","Hardware","4TB 7.2k RPM NLSAS 12Gps 3.5 in",,"false","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Hard Drive","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4on&amp;oid=00D41000000emZ2"" alt=""PO-000349"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,"Custom","false","Extended Care","Onsite",,,,"4TB 7.2k RPM NLSAS 12Gps 3.5 in","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems",,"Hosted",,,"0%",,
"a0b1N00000CoL9hQAF","false","PO-000371","USD",,"false","false","2.0","16GB",,,"01t1N00000EURLrQAP",,,,,"false",,"a0a1N0000085v44QAA","8.0","1.0","220.0","01t1N00000EURKzQAP","No","MEM 16GB","Disabled","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width","Hardware","16GB RDIMM, 2133MT/s",,"true","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Memory Capacity","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oy&amp;oid=00D41000000emZ2"" alt=""PO-000371"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"16GB RDIMM, 2133MT/s","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width",,"Hosted",,,"0%",,
"a0b1N00000CoL9HQAV","false","PO-000351","USD",,"false","false","4.0","SFP",,,"01t1N00000EURLDQA5",,,,,"false",,"a0a1N0000085v4KQAQ","1.0","0.0","420.0","01t1N00000EURKtQAP","No","BET X710SFP","Disabled","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.","Hardware","Intel X710 Dual Port 10Gb SFP",,"false","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Network Adapter","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ot&amp;oid=00D41000000emZ2"" alt=""PO-000351"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,"Custom","false","Extended Care","Onsite",,,,"Intel X710 Dual Port 10Gb SFP","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.",,"Hosted",,,"0%",,
"a0b1N00000CoL9iQAF","false","PO-000374","USD",,"false","false","3.0","4T",,,"01t1N00000EURLrQAP",,,,,"false",,"a0a1N0000085v45QAA","1.0","0.0","320.0","01t1N00000EURKsQAP","No","HD 4TB","Disabled","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems","Hardware","4TB 7.2k RPM NLSAS 12Gps 3.5 in",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Hard Drive","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4on&amp;oid=00D41000000emZ2"" alt=""PO-000374"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"4TB 7.2k RPM NLSAS 12Gps 3.5 in","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems",,"Hosted",,,"0%",,
"a0b1N00000CoL9IQAV","false","PO-000353","USD","On Selection","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3eQAA",,,"350.0","01t1N00000EURLEQA5","No","PDU-2026","Disabled","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.","Hardware","Rack PDU 10A 230V C20 input C19 output",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Power Distribution Units","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p0&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000353"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Rack PDU 10A 230V C20 input C19 output","Basic Rack Power Distribution Unit allows users to distribute power outlets to rack-mount equipment.",,,,,"0%",,
"a0b1N00000CoL9jQAF","false","PO-000376","USD",,"false","false","4.0","SFP",,,"01t1N00000EURLrQAP",,,,,"false",,"a0a1N0000085v46QAA","1.0","0.0","420.0","01t1N00000EURKtQAP","No","BET X710SFP","Disabled","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.","Hardware","Intel X710 Dual Port 10Gb SFP",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Network Adapter","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ot&amp;oid=00D41000000emZ2"" alt=""PO-000376"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Intel X710 Dual Port 10Gb SFP","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.",,"Hosted",,,"0%",,
"a0b1N00000CoL9JQAV","false","PO-000328","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3iQAA",,,"430.0","01t1N00000EURLFQA5","No","CMPC-5889","Disabled","The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","Hardware","C19 to C20 Power Cable 3'",,"false","1.0","Always","false","true",,"false","Component",,"false",,,"false","Power Cables","Power Cables","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pF&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000328"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"C19 to C20 Power Cable 3'","The Power Cord is designed to provide ideal electrical connectivity to your equipments. It operates at 250-Volt voltage range.","3'",,,,"0%",,
"a0b1N00000CoL9kQAF","false","PO-000378","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3oQAA",,,"840.0","01t1N00000EURLdQAP","No","WIN SDATA-OT","Disabled","Windows Server Datacenter edition is designed for organizations with large workloads and heavily virtualized server environments.","Software","Windows Server Datacenter - Onetime License",,"false","1.0",,"false","false",,"false","Component",,"false",,,"false","Operating System","Operating System","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p9&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000378"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Windows Server Datacenter - Onetime License","Windows Server Datacenter edition is designed for organizations with large workloads and heavily virtualized server environments.",,,,,"0%",,
"a0b1N00000CoL9KQAV","false","PO-000335","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3oQAA",,,"820.0","01t1N00000EURLGQA5","No","WIN S2012","Disabled","Windows Server 2012 R2 brings our experience delivering global-scale cloud services into your infrastructure","Software","Windows Server R2 2012",,"false","1.0",,"false","false",,"false","Component",,"false",,,"false","Operating System","Operating System","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p9&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000335"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Windows Server R2 2012","Windows Server 2012 R2 brings our experience delivering global-scale cloud services into your infrastructure",,,,,"0%",,
